Id,SalePrice
1461,121375.393996
1462,154215.733512
1463,180813.505949
1464,194160.055285
1465,192335.237506
1466,170984.898863
1467,175559.112818
1468,159755.74422
1469,196973.886741
1470,112735.731074
1471,202742.418731
1472,98592.8688412
1473,95970.1027115
1474,147443.56922
1475,109764.862428
1476,358533.096218
1477,240785.095116
1478,295917.467473
1479,289369.865345
1480,489222.30309
1481,310261.480644
1482,210651.565854
1483,184462.967883
1484,159694.44598
1485,195577.091854
1486,198661.715784
1487,320238.108662
1488,233852.776794
1489,183032.441038
1490,229435.712436
1491,195237.182002
1492,91689.8186299
1493,178971.194705
1494,287427.232894
1495,282941.80225
1496,226545.748642
1497,175714.803582
1498,156654.52824
1499,157423.335219
1500,148980.029068
1501,166169.973384
1502,143552.812462
1503,278393.401977
1504,238015.199292
1505,220091.444624
1506,199990.240483
1507,248294.244612
1508,204199.740292
1509,161394.635112
1510,139342.666154
1511,147325.811993
1512,178166.062623
1513,145238.342876
1514,150855.268248
1515,197770.680796
1516,160380.548254
1517,168159.650616
1518,136748.806056
1519,209221.787431
1520,123172.564303
1521,129131.873854
1522,184402.960452
1523,105969.352583
1524,128472.64746
1525,114794.029461
1526,110377.059044
1527,100556.53782
1528,147420.590918
1529,140135.345765
1530,174259.762673
1531,104746.590315
1532,104940.697081
1533,157589.831091
1534,132604.559149
1535,159983.317964
1536,116080.923926
1537,58907.9231431
1538,150108.375731
1539,207673.390382
1540,93498.2405573
1541,150383.307146
1542,141904.570844
1543,183454.373114
1544,86099.9367683
1545,109518.775045
1546,132086.081027
1547,133307.292092
1548,135099.905404
1549,113176.22619
1550,127683.265262
1551,121026.251294
1552,128912.178572
1553,150323.939884
1554,116975.90129
1555,169527.109959
1556,84175.4155801
1557,105118.340368
1558,102645.118213
1559,78596.154752
1560,132177.877591
1561,127713.064636
1562,127593.251421
1563,114316.767011
1564,165442.199633
1565,145456.566872
1566,243618.345464
1567,76307.0661803
1568,226614.095472
1569,129879.221784
1570,145263.462297
1571,128326.895848
1572,145091.169716
1573,252719.785937
1574,117106.465392
1575,225046.806331
1576,241945.739715
1577,181441.713239
1578,145037.639951
1579,138729.100131
1580,197336.511852
1581,159139.893566
1582,120240.781609
1583,303151.54458
1584,219765.2128
1585,137254.664814
1586,61972.7539468
1587,100794.771286
1588,146299.332246
1589,96698.6600251
1590,140472.323063
1591,93327.7685441
1592,124768.759706
1593,123335.212363
1594,120180.428385
1595,105427.797937
1596,210887.715751
1597,168627.262619
1598,211569.518945
1599,175955.568457
1600,174864.35401
1601,62132.8670513
1602,119849.505512
1603,77064.8988415
1604,259750.680848
1605,255552.262862
1606,173429.790158
1607,184386.462741
1608,223081.253224
1609,180622.775332
1610,145794.528375
1611,146000.861584
1612,176669.208104
1613,165601.466042
1614,124530.381627
1615,96974.069722
1616,82242.965161
1617,96274.0709281
1618,118714.693651
1619,137067.438707
1620,148941.570891
1621,143505.776568
1622,138551.711838
1623,263619.77218
1624,218822.897712
1625,119295.181094
1626,172643.102719
1627,191462.289556
1628,273991.001301
1629,177396.682523
1630,341223.456817
1631,215022.769624
1632,242420.209601
1633,174875.478343
1634,188681.828953
1635,179167.599637
1636,153028.75731
1637,200960.436495
1638,189687.579763
1639,190633.1878
1640,260859.505419
1641,183638.012186
1642,234272.695595
1643,221735.643747
1644,231629.659899
1645,208880.66247
1646,160758.052316
1647,166334.882117
1648,126808.604227
1649,140768.850262
1650,104357.970133
1651,118345.671888
1652,101175.674366
1653,104466.518848
1654,145056.362191
1655,134923.283976
1656,140411.244199
1657,145404.54151
1658,145702.492744
1659,111972.894088
1660,149972.265523
1661,457349.737538
1662,377710.852918
1663,381676.792384
1664,531607.300978
1665,308629.217545
1666,317368.966531
1667,368435.121757
1668,342442.28316
1669,298679.873915
1670,352009.973451
1671,255937.455507
1672,422497.602481
1673,279088.959955
1674,238451.243291
1675,193779.250986
1676,192363.401776
1677,218169.358462
1678,454745.33271
1679,366685.507527
1680,332302.066021
1681,248054.238894
1682,295431.093588
1683,182010.417095
1684,184919.831177
1685,176356.36975
1686,169179.757478
1687,175224.032509
1688,192512.671226
1689,196696.112793
1690,201912.158711
1691,190810.1419
1692,272898.384342
1693,179028.527605
1694,182060.384517
1695,163647.180585
1696,278888.683666
1697,168341.505552
1698,330434.243584
1699,305866.67068
1700,239003.101441
1701,268654.607975
1702,250935.813263
1703,245563.242746
1704,276961.997958
1705,239363.756263
1706,445036.696093
1707,205265.675409
1708,195037.590399
1709,263832.124441
1710,218058.487855
1711,268411.370269
1712,248893.316026
1713,266238.989517
1714,222660.68187
1715,205404.237732
1716,185820.64275
1717,177646.253396
1718,139830.035361
1719,204264.662212
1720,237528.128163
1721,174528.984568
1722,135670.089624
1723,163375.542363
